0,,,NEUTRAL,,0.0,,,42152.0,,,,,,,,,,TB_Blizzcon2016_LotusEnchant,,,The Jade Lotus,,,NEUTRAL,,,,TB,,,,ENCHANTMENT
1,,,WARLOCK,,0.0,,,917.0,,,,,,,,,,CS2_063e,,,Corruption,,,WARLOCK,,,,CORE,,,"At the start of the corrupting player's turn, destroy this minion.",ENCHANTMENT
2,,,NEUTRAL,,0.0,,,2385.0,,,,,,30.0,,,,BRMA14_1,,,Omnotron Defense System,,,NEUTRAL,,,,BRM,,,,HERO
3,,,WARRIOR,,0.0,,,1728.0,,,,,,10.0,,,,XXX_040,,,Hogger,,,WARRIOR,,,,CHEAT,,,,HERO
4,Jonboy Meyers,2.0,MAGE,,1.0,,4.0,2234.0,,,,,Bane of spellcasters and spelling bees everywhere.,5.0,,,,GVG_122,['AURA'],,Wee Spellstopper,,,MAGE,,EPIC,,GVG,,,Adjacent minions can't be targeted by spells or Hero Powers.,MINION
5,,,NEUTRAL,,0.0,,,2450.0,,,,,,30.0,,,,BRMA07_1H,,,Highlord Omokk,,,NEUTRAL,,,,BRM,,,,HERO
6,,3.0,NEUTRAL,,0.0,,2.0,2442.0,,,,,,1.0,,,,BRMA03_3H,"['AURA', 'InvisibleDeathrattle']",,Moira Bronzebeard,,,NEUTRAL,,,['TAUNT'],BRM,,,"Thaurissan's Hero Power can't be used.
Never attacks minions unless they have <b>Taunt</b>.",MINION
7,,,NEUTRAL,,0.0,,1.0,2659.0,,,,,,,,,,TB_008,,,Rotten Banana,,{'REQ_TARGET_TO_PLAY': 0},NEUTRAL,,,,TB,,,Deal $1 damage.,SPELL
8,,0.0,NEUTRAL,,0.0,,0.0,38484.0,,,,,,5.0,,,,LOEA01_11h,['DEATHRATTLE'],,Rod of the Sun,,,NEUTRAL,,,,LOE,,,<b>Deathrattle:</b> Surrender this to your opponent.,MINION
9,,1.0,NEUTRAL,,0.0,,0.0,2157.0,,1.0,,,,1.0,,,,NAX15_05,['InvisibleDeathrattle'],,Mr. Bigglesworth,,,NEUTRAL,BEAST,LEGENDARY,,NAXX,,,<i>This is Kel'Thuzad's kitty.</i>,MINION
10,,,ROGUE,,0.0,,,1625.0,,,,,,,,,,CS2_073e2,,,Cold Blood,,,ROGUE,,,,EXPERT1,,,+4 Attack.,ENCHANTMENT
11,Kerem Beyit,,WARLOCK,,1.0,,5.0,1985.0,,,,,Virtually every member of the pro demon lobby is a warlock. Weird.,,,,,GVG_019,,,Demonheart,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",WARLOCK,,EPIC,,GVG,,,"Deal $5 damage to a minion.  If it's a friendly Demon, give it +5/+5 instead.",SPELL
12,Arthur Bozonnet,,NEUTRAL,,0.0,,2.0,39753.0,,,,,,,,,,KARA_00_02,,,Legion,,,NEUTRAL,,,,KARA,,,"<b>Hero Power</b>
Summon a 6/6 Abyssal.",HERO_POWER
