0,,,NEUTRAL,,0.0,,,42152.0,,,,,,,,,,TB_Blizzcon2016_LotusEnchant,,,玉莲帮,,,NEUTRAL,,,,TB,,,,ENCHANTMENT
1,,,WARLOCK,,0.0,,,917.0,,,,,,,,,,CS2_063e,,,腐蚀术,,,WARLOCK,,,,CORE,,,在施放腐蚀术的玩家的回合开始时，消灭该随从。,ENCHANTMENT
2,,,NEUTRAL,,0.0,,,2385.0,,,,,,30.0,,,,BRMA14_1,,,全能金刚防御系统,,,NEUTRAL,,,,BRM,,,,HERO
3,,,WARRIOR,,0.0,,,1728.0,,,,,,10.0,,,,XXX_040,,,Hogger,,,WARRIOR,,,,CHEAT,,,,HERO
4,Jonboy Meyers,2.0,MAGE,,1.0,,4.0,2234.0,,,,,有些大块头正需要小个子的保护。,5.0,,,,GVG_122,['AURA'],,小个子扰咒师,,,MAGE,,EPIC,,GVG,,,"相邻的随从
无法成为法术或英雄技能的目标。",MINION
5,,,NEUTRAL,,0.0,,,2450.0,,,,,,30.0,,,,BRMA07_1H,,,欧莫克大王,,,NEUTRAL,,,,BRM,,,,HERO
6,,3.0,NEUTRAL,,0.0,,2.0,2442.0,,,,,,1.0,,,,BRMA03_3H,"['AURA', 'InvisibleDeathrattle']",,茉艾拉·铜须,,,NEUTRAL,,,['TAUNT'],BRM,,,"索瑞森无法使用他的英雄技能。
不攻击随从，除了具有<b>嘲讽</b>的随从。",MINION
7,,,NEUTRAL,,0.0,,1.0,2659.0,,,,,,,,,,TB_008,,,烂香蕉,,{'REQ_TARGET_TO_PLAY': 0},NEUTRAL,,,,TB,,,造成$1点伤害。,SPELL
8,,0.0,NEUTRAL,,0.0,,0.0,38484.0,,,,,,5.0,,,,LOEA01_11h,['DEATHRATTLE'],,炎日权杖,,,NEUTRAL,,,,LOE,,,<b>亡语：</b>将权杖交予你的对手。,MINION
9,,1.0,NEUTRAL,,0.0,,0.0,2157.0,,1.0,,,,1.0,,,,NAX15_05,['InvisibleDeathrattle'],,比格沃斯先生,,,NEUTRAL,BEAST,LEGENDARY,,NAXX,,,<i>克尔苏加德的爱喵。</i>,MINION
10,,,ROGUE,,0.0,,,1625.0,,,,,,,,,,CS2_073e2,,,冷血,,,ROGUE,,,,EXPERT1,,,+4攻击力。,ENCHANTMENT
11,Kerem Beyit,,WARLOCK,,1.0,,5.0,1985.0,,,,,能召唤出什么样的恶魔取决于术士的野心和运气。,,,,,GVG_019,,,恶魔之心,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",WARLOCK,,EPIC,,GVG,,,对一个随从造成$5点伤害，如果该随从是友方恶魔，则改为使其获得+5/+5。,SPELL
12,Arthur Bozonnet,,NEUTRAL,,0.0,,2.0,39753.0,,,,,,,,,,KARA_00_02,,,燃烧军团,,,NEUTRAL,,,,KARA,,,"<b>英雄技能</b>
召唤一个6/6的
渊狱火。",HERO_POWER
13,Blizzard Entertainment,0.0,PRIEST,,1.0,,2.0,797.0,,,,,以前有很多牧师都不明白，究竟是因为队友看不见光明之泉呢，还是他们故意不想点它呢？,5.0,,,,EX1_341,,,光明之泉,,,PRIEST,,RARE,,EXPERT1,,,"在你的回合开始时，随机为一个受伤的
友方角色恢复3点生命值。",MINION
14,Sean O’Daniels,0.0,NEUTRAL,,1.0,,3.0,1658.0,,,,,警报。警报。警报。,3.0,,,,EX1_006,,,报警机器人,,,NEUTRAL,MECHANICAL,RARE,,EXPERT1,,,"在你的回合开始时，随机将你的手牌中的一张随从牌与该随从
交换。",MINION
15,,,NEUTRAL,,0.0,,3.0,2678.0,,,,,,,,,,BRMA05_3H,,,活体炸弹,,"{'REQ_ENEMY_TARGET': 0, 'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",NEUTRAL,,,,BRM,,,选择一个敌方随从。在你的下个回合开始时，如果该随从依然存活，则对所有敌人造成$10点伤害。,SPELL
16,Matt Dixon,2.0,PALADIN,,1.0,,1.0,40531.0,,,,,把他们带到码头上，再丢到海里去，听明白了吗？,1.0,,,,CFM_650,['BATTLECRY'],,暗鳞劫掠者,,,PALADIN,MURLOC,COMMON,,GANGS,,,<b>战吼：</b>使你手牌中的一个随机鱼人牌获得+1/+1。,MINION
17,Steve Prescott,2.0,NEUTRAL,,1.0,,3.0,1016.0,,,,,他们能够预见未来。在未来的时间里，双方玩家都将抽更多的牌。真准！,2.0,,,,EX1_050,['BATTLECRY'],,寒光智者,,,NEUTRAL,MURLOC,RARE,,EXPERT1,,,<b>战吼：</b>每个玩家抽两张牌。,MINION
18,Evgeniy Zaqumyenny,1.0,NEUTRAL,,0.0,,1.0,42072.0,,,,,,1.0,,,,CFM_621_m5,,,绵羊,,,NEUTRAL,BEAST,,,GANGS,,,,MINION
19,Greg Staples,8.0,NEUTRAL,,1.0,,8.0,374.0,,1.0,,,拉格纳罗斯是由黑铁矮人召唤出来的，而这些矮人最终也成为了火焰领主的奴隶。所以召唤拉格纳罗斯往往得不到你想要的结果。,8.0,,,,EX1_298,['CANT_ATTACK'],,炎魔之王拉格纳罗斯,,,NEUTRAL,ELEMENTAL,LEGENDARY,,EXPERT1,,,无法攻击。在你的回合结束时，对一个随机敌人造成8点伤害。,MINION
20,,2.0,NEUTRAL,,0.0,,4.0,16233.0,,,,,,6.0,,,,LOEA07_09,,,穴居人追兵,,,NEUTRAL,,,,LOE,,,,MINION
21,Chris Rahn,2.0,DRUID,,1.0,,3.0,2225.0,,,,,喜好：徒步旅行，拥抱美丽的大自然。厌恶：地精伐木机和拖鞋。（讨厌拖鞋纯粹是因为找不到合脚的。）,4.0,,,,GVG_032,['CHOOSE_ONE'],,林地树妖,,,DRUID,,RARE,,GVG,,,<b>抉择：</b>使每个玩家获得一个法力水晶；或每个玩家抽一张牌。,MINION
22,,1.0,NEUTRAL,,0.0,,1.0,1677.0,,,,,,2.0,,,,TU4f_007,['BATTLECRY'],,疯狂的猴子,,,NEUTRAL,,COMMON,,MISSIONS,,,<b>战吼：</b>扔香蕉。,MINION
